unique_index,x,y,z,c,a,aidx,px,py,pz
0,1.8897259e-05,1.3601114,1.8897259e-05,1.296083,7.868272,1,-0.0,-0.0,9.999999747378752e-06
1,1.8897259e-05,1.3601114,1.8897259e-05,0.993754,1.881288,1,-0.0,-0.0,9.999999747378752e-06
2,1.8897259e-05,1.3601114,1.8897259e-05,0.495953,0.544249,1,-0.0,-0.0,9.999999747378752e-06
3,1.8897259e-05,1.3601114,1.8897259e-05,0.154128,0.168714,1,-0.0,0.0,1.9999999494757503e-05
4,1.8897259e-05,-1.3600925,1.8897259e-05,1.296083,7.868272,2,0.0,0.0,0.0
5,1.8897259e-05,-1.3600925,1.8897259e-05,0.993754,1.881288,2,0.0,0.0,0.0
6,1.8897259e-05,-1.3600925,1.8897259e-05,0.495953,0.544249,2,0.0,0.0,0.0
7,1.8897259e-05,-1.3600925,1.8897259e-05,0.154128,0.168714,2,0.0,-0.0,-0.0
8,-4.6139174,1.3630782,-1.8897259e-05,1.296083,7.868272,3,-0.0,0.0,0.09229999780654907
9,-4.6139174,1.3630782,-1.8897259e-05,0.993754,1.881288,3,-0.0,0.0,0.09229999780654907
10,-4.6139174,1.3630782,-1.8897259e-05,0.495953,0.544249,3,-0.0,0.0,0.09229999780654907
11,-4.6139174,1.3630782,-1.8897259e-05,0.154128,0.168714,3,-0.0,0.0,0.08733999729156494
12,-4.613936,-1.3630594,-1.8897259e-05,1.296083,7.868272,4,-0.0,0.0,0.09232000261545181
13,-4.613936,-1.3630594,-1.8897259e-05,0.993754,1.881288,4,-0.0,0.0,0.09232000261545181
14,-4.613936,-1.3630594,-1.8897259e-05,0.495953,0.544249,4,-0.0,0.0,0.09232000261545181
15,-4.613936,-1.3630594,-1.8897259e-05,0.154128,0.168714,4,-0.0,-0.0,0.08736000210046768
16,4.6140494,1.3630782,3.7794518e-05,1.296083,7.868272,5,0.0,-0.0,-0.09232000261545181
17,4.6140494,1.3630782,3.7794518e-05,0.993754,1.881288,5,0.0,-0.0,-0.09232000261545181
18,4.6140494,1.3630782,3.7794518e-05,0.495953,0.544249,5,0.0,-0.0,-0.09232000261545181
19,4.6140494,1.3630782,3.7794518e-05,0.154128,0.168714,5,0.0,-0.0,-0.08736000210046768
20,4.6140304,-1.3630972,3.7794518e-05,1.296083,7.868272,6,0.0,-0.0,-0.09230999648571014
21,4.6140304,-1.3630972,3.7794518e-05,0.993754,1.881288,6,0.0,-0.0,-0.09230999648571014
22,4.6140304,-1.3630972,3.7794518e-05,0.495953,0.544249,6,0.0,-0.0,-0.09230999648571014
23,4.6140304,-1.3630972,3.7794518e-05,0.154128,0.168714,6,0.0,-0.0,-0.08735000342130661
24,2.3320353,2.647714,1.8897259e-05,1.296083,7.868272,7,-0.0,0.0,0.2221599966287613
25,2.3320353,2.647714,1.8897259e-05,0.993754,1.881288,7,-0.0,0.0,0.2221599966287613
26,2.3320353,2.647714,1.8897259e-05,0.495953,0.544249,7,-0.0,0.0,0.2221599966287613
27,2.3320353,2.647714,1.8897259e-05,0.154128,0.168714,7,-0.0,0.0,0.2418700009584427
28,2.3320353,-2.647714,3.7794518e-05,1.296083,7.868272,8,-0.0,0.0,0.2221599966287613
29,2.3320353,-2.647714,3.7794518e-05,0.993754,1.881288,8,-0.0,0.0,0.2221599966287613
30,2.3320353,-2.647714,3.7794518e-05,0.495953,0.544249,8,-0.0,0.0,0.2221599966287613
31,2.3320353,-2.647714,3.7794518e-05,0.154128,0.168714,8,-0.0,0.0,0.2418700009584427
32,-2.3319597,2.6477706,-0.0,1.296083,7.868272,9,0.0,-0.0,-0.22216999530792236
33,-2.3319597,2.6477706,-0.0,0.993754,1.881288,9,0.0,-0.0,-0.22216999530792236
34,-2.3319597,2.6477706,-0.0,0.495953,0.544249,9,0.0,-0.0,-0.22216999530792236
35,-2.3319597,2.6477706,-0.0,0.154128,0.168714,9,0.0,-0.0,-0.24187999963760376
36,-2.3319786,-2.6477518,0.0,1.296083,7.868272,10,0.0,-0.0,-0.22217999398708344
37,-2.3319786,-2.6477518,0.0,0.993754,1.881288,10,0.0,-0.0,-0.22217999398708344
38,-2.3319786,-2.6477518,0.0,0.495953,0.544249,10,0.0,-0.0,-0.22217999398708344
39,-2.3319786,-2.6477518,0.0,0.154128,0.168714,10,0.0,-0.0,-0.24188999831676483
40,-7.0033436,2.6596003,-3.7794518e-05,1.296083,7.868272,11,-0.0,0.0,0.1396300047636032
41,-7.0033436,2.6596003,-3.7794518e-05,0.993754,1.881288,11,-0.0,0.0,0.1396300047636032
42,-7.0033436,2.6596003,-3.7794518e-05,0.495953,0.544249,11,-0.0,0.0,0.1396300047636032
43,-7.0033436,2.6596003,-3.7794518e-05,0.154128,0.168714,11,-0.0,0.0,0.16176000237464905
44,-7.0033813,-2.6595626,-3.7794518e-05,1.296083,7.868272,12,-0.0,0.0,0.13964000344276428
45,-7.0033813,-2.6595626,-3.7794518e-05,0.993754,1.881288,12,-0.0,0.0,0.13964000344276428
46,-7.0033813,-2.6595626,-3.7794518e-05,0.495953,0.544249,12,-0.0,0.0,0.13964000344276428
47,-7.0033813,-2.6595626,-3.7794518e-05,0.154128,0.168714,12,-0.0,0.0,0.16177000105381012
48,7.003362,2.6598082,5.669178e-05,1.296083,7.868272,13,0.0,-0.0,-0.13964000344276428
49,7.003362,2.6598082,5.669178e-05,0.993754,1.881288,13,0.0,-0.0,-0.13964000344276428
50,7.003362,2.6598082,5.669178e-05,0.495953,0.544249,13,0.0,-0.0,-0.13964000344276428
51,7.003362,2.6598082,5.669178e-05,0.154128,0.168714,13,0.0,-0.0,-0.16177000105381012
52,7.0033245,-2.6598272,5.669178e-05,1.296083,7.868272,14,0.0,-0.0,-0.1396300047636032
53,7.0033245,-2.6598272,5.669178e-05,0.993754,1.881288,14,0.0,-0.0,-0.1396300047636032
54,7.0033245,-2.6598272,5.669178e-05,0.495953,0.544249,14,0.0,-0.0,-0.1396300047636032
55,7.0033245,-2.6598272,5.669178e-05,0.154128,0.168714,14,0.0,-0.0,-0.16176000237464905
56,-9.213869,1.3554249,-5.669178e-05,1.296083,7.868272,15,0.0,-0.0,-0.12737999856472015
57,-9.213869,1.3554249,-5.669178e-05,0.993754,1.881288,15,0.0,-0.0,-0.12737999856472015
58,-9.213869,1.3554249,-5.669178e-05,0.495953,0.544249,15,0.0,-0.0,-0.12737999856472015
59,-9.213869,1.3554249,-5.669178e-05,0.154128,0.168714,15,0.0,-0.0,-0.13732999563217163
60,-9.213983,-1.3555382,-3.7794518e-05,1.296083,7.868272,16,0.0,-0.0,-0.12738999724388123
61,-9.213983,-1.3555382,-3.7794518e-05,0.993754,1.881288,16,0.0,-0.0,-0.12738999724388123
62,-9.213983,-1.3555382,-3.7794518e-05,0.495953,0.544249,16,0.0,-0.0,-0.12738999724388123
63,-9.213983,-1.3555382,-3.7794518e-05,0.154128,0.168714,16,0.0,-0.0,-0.13734999299049377
64,9.213813,1.3555382,7.5589036e-05,1.296083,7.868272,17,-0.0,0.0,0.12738999724388123
65,9.213813,1.3555382,7.5589036e-05,0.993754,1.881288,17,-0.0,0.0,0.12738999724388123
66,9.213813,1.3555382,7.5589036e-05,0.495953,0.544249,17,-0.0,0.0,0.12738999724388123
67,9.213813,1.3555382,7.5589036e-05,0.154128,0.168714,17,-0.0,0.0,0.13734999299049377
68,9.21368,-1.3554059,7.5589036e-05,1.296083,7.868272,18,-0.0,0.0,0.12737999856472015
69,9.21368,-1.3554059,7.5589036e-05,0.993754,1.881288,18,-0.0,0.0,0.12737999856472015
70,9.21368,-1.3554059,7.5589036e-05,0.495953,0.544249,18,-0.0,0.0,0.12737999856472015
71,9.21368,-1.3554059,7.5589036e-05,0.154128,0.168714,18,-0.0,0.0,0.13732999563217163
